type,path_rel,class_or_handler,config_location,notes
ashx,WebGestor/CRM/CrmGuiaHandler.ashx,CrmGuiaHandler,,
ashx,WebGestor/ControlPersonal/Person_Fotos.ashx,Person_Fotos,,
ashx,WebGestor/Inventario/Foto_.ashx,Foto_,,
ashx,WebGestor/Inventario/GuiaHandler.ashx,GuiaHandler,,
ashx,WebGestor/Inventario/ImagenGasto.ashx,ImagenGasto,,
ashx,WebGestor/Inventario/ImagenHandler.ashx,ImagenHandler,,
ashx,WebGestor/Inventario/Manejador.ashx,Manejador,,
ashx,WebGestor/Inventario/ProductoSku.ashx,ProductoSku,,
ashx,WebGestor/Inventario/RecepGuiaHandler.ashx,RecepGuiaHandler,,
ashx,WebGestor/Inventario/RecepcionHandler.ashx,RecepcionHandler,,
ashx,WebGestor/Inventario/SerieImagen.ashx,SerieImagen,,
ashx,WebGestor/Inventario/fotoUpload.ashx,fotoUpload,,
ashx,WebGestor/camaraUpload.ashx,camaraUpload,,
ashx,WebGestor/camara_.ashx,camara_,,
ashx,WebGestor/refresh_session.ashx,WebGestor.refresh_session,,
httpHandler,WebGestor/Web.config,"System.Web.UI.DataVisualization.Charting.ChartHttpHandler, System.Web.DataVisualization, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35",system.web/httpHandlers/add[@path='ChartImg.axd'],
