package,version,license,license_url,detection_source,usage_paths,redistributable,notes
AjaxControlToolkit,1.0.10618.0,MS-PL,https://licenses.nuget.org/MS-PL,vbproj,WebGestor/WebGestor.vbproj,yes,
Antlr,3.5.0.2,BSD-3-Clause,https://www.antlr3.org/license.html,packages.config|vbproj,WebGestor/WebGestor.vbproj|WebGestor/packages.config,yes,
AspNet.ScriptManager.bootstrap,3.3.7,MIT,https://licenses.nuget.org/MIT,packages.config|vbproj,WebGestor/WebGestor.vbproj|WebGestor/packages.config,yes,
AspNet.ScriptManager.jQuery,3.3.1,MIT,https://licenses.nuget.org/MIT,packages.config|vbproj,WebGestor/WebGestor.vbproj|WebGestor/packages.config,yes,
bootstrap,3.3.7,MIT,https://github.com/twbs/bootstrap/blob/v3.3.7/LICENSE,packages.config,WebGestor/packages.config,yes,
BouncyCastle,1.8.9,MIT,https://www.bouncycastle.org/csharp/licence.html,packages.config,WebGestor/packages.config,yes,
ClosedXML,0.102.2,MIT,https://github.com/ClosedXML/ClosedXML/blob/0.102.2/LICENSE,packages.config,WebGestor/packages.config,yes,
DocumentFormat.OpenXml,2.16.0,MIT,https://licenses.nuget.org/MIT,packages.config,WebGestor/packages.config,yes,
EPPlus,6.2.6,Polyform-Noncommercial-1.0.0,https://licenses.nuget.org/Polyform-Noncommercial-1.0.0,packages.config,WebGestor/packages.config,no,Non-commercial license
EPPlus.Interfaces,6.1.1,Polyform-Noncommercial-1.0.0,https://licenses.nuget.org/Polyform-Noncommercial-1.0.0,packages.config,WebGestor/packages.config,no,Non-commercial license
EPPlus.System.Drawing,6.1.1,Polyform-Noncommercial-1.0.0,https://licenses.nuget.org/Polyform-Noncommercial-1.0.0,packages.config,WebGestor/packages.config,no,Non-commercial license
ExcelNumberFormat,1.1.0,MIT,https://licenses.nuget.org/MIT,packages.config,WebGestor/packages.config,yes,
Interop.Excel,unknown,unknown,,vbproj,WebGestor/WebGestor.vbproj,unknown,Microsoft Office interop assembly
Interop.TAPI3Lib,unknown,unknown,,vbproj,WebGestor/WebGestor.vbproj,unknown,COM interop assembly
Interop.TERMMGRLib,unknown,unknown,,vbproj,WebGestor/WebGestor.vbproj,unknown,COM interop assembly
Irony.NetCore,1.0.11,MIT,https://licenses.nuget.org/MIT,packages.config,WebGestor/packages.config,yes,
iTextSharp,5.5.13.3,AGPL-3.0-only,https://www.gnu.org/licenses/agpl-3.0.html,packages.config,WebGestor/packages.config,unknown,Strong copyleft license
jQuery,3.3.1,MIT,https://jquery.org/license/,packages.config,WebGestor/packages.config,yes,
Microsoft.AspNet.FriendlyUrls.Core,1.0.2,Apache-2.0,https://licenses.nuget.org/Apache-2.0,packages.config|vbproj,WebGestor/WebGestor.vbproj|WebGestor/packages.config,yes,
Microsoft.AspNet.FriendlyUrls.Core.es,1.0.2,Apache-2.0,https://licenses.nuget.org/Apache-2.0,packages.config,WebGestor/packages.config,yes,
Microsoft.AspNet.ScriptManager.MSAjax,5.0.0,Apache-2.0,https://licenses.nuget.org/Apache-2.0,packages.config|vbproj,WebGestor/WebGestor.vbproj|WebGestor/packages.config,yes,
