library,version_guess,detection_source,usage_paths
bootstrap,,filename,WebGestor/Js/bootstrap.js|WebGestor/Js/bootstrap.min.js|WebGestor/Js/bootstrapValidator.js|WebGestor/Js/dataTables.bootstrap.min.js|WebGestor/Scripts/bootstrap.js|WebGestor/Scripts/bootstrap.min.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.min.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.min.js|WebGestor/bootstrap/js/bootstrap.js|WebGestor/bootstrap/js/bootstrap.min.js|WebGestor/plugins/bootstrap-slider/bootstrap-slider.js|WebGestor/plugins/colorpicker/bootstrap-colorpicker.js|WebGestor/plugins/colorpicker/bootstrap-colorpicker.min.js|WebGestor/plugins/datatables/dataTables.bootstrap.js|WebGestor/plugins/datatables/dataTables.bootstrap.min.js|WebGestor/plugins/datepicker/bootstrap-datepicker.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ar.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.az.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.bg.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ca.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.cs.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.cy.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.da.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.de.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.el.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.es.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.et.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.fa.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.fi.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.fr.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.gl.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.he.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.hr.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.hu.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.id.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.is.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.it.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ja.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ka.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.kk.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.kr.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.lt.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.lv.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.mk.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ms.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.nb.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.nl-BE.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.nl.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.no.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.pl.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.pt-BR.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.pt.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ro.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.rs-latin.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.rs.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ru.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.sk.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.sl.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.sq.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.sv.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.sw.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.th.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.tr.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.ua.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.vi.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.zh-CN.js|WebGestor/plugins/datepicker/locales/bootstrap-datepicker.zh-TW.js|WebGestor/plugins/timepicker/bootstrap-timepicker.js|WebGestor/plugins/timepicker/bootstrap-timepicker.min.js
bootstrap,3,filename|header_comment,WebGestor/Js/bootstrapValidator.js|WebGestor/Js/dataTables.bootstrap.min.js|WebGestor/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js|WebGestor/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.js|WebGestor/plugins/datatables/dataTables.bootstrap.js|WebGestor/plugins/datatables/dataTables.bootstrap.min.js
bootstrap,3.3.4,header_comment,WebGestor/bootstrap/js/bootstrap.js|WebGestor/bootstrap/js/bootstrap.min.js
bootstrap,3.3.6,header_comment,WebGestor/Js/Java.js|WebGestor/Js/bootstrap.min.js
bootstrap,3.3.7,header_comment,WebGestor/Scripts/bootstrap.js|WebGestor/Scripts/bootstrap.min.js
bootstrap,4.5.2,header_comment,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.min.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.js|WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.min.js
chart.js,,filename,WebGestor/Js/highcharts-3d.js|WebGestor/Js/highcharts-3d.src.js|WebGestor/Js/highcharts-more.js|WebGestor/Js/highcharts-more.src.js|WebGestor/Js/highcharts.js|WebGestor/Js/highcharts.src.js|WebGestor/plugins/chartjs/Chart.js|WebGestor/plugins/chartjs/Chart.min.js
jquery,,filename,WebGestor/Js/jquery.dataTables.min.js|WebGestor/Js/jquery.min.js|WebGestor/Js/locationpicker.jquery.js|WebGestor/WebCam_Plugin/jquery.webcam.js|WebGestor/plugins/ckeditor/adapters/jquery.js|WebGestor/plugins/datatables/jquery.dataTables.js|WebGestor/plugins/datatables/jquery.dataTables.min.js|WebGestor/plugins/flot/jquery.colorhelpers.js|WebGestor/plugins/flot/jquery.colorhelpers.min.js|WebGestor/plugins/flot/jquery.flot.canvas.js|WebGestor/plugins/flot/jquery.flot.canvas.min.js|WebGestor/plugins/flot/jquery.flot.categories.js|WebGestor/plugins/flot/jquery.flot.categories.min.js|WebGestor/plugins/flot/jquery.flot.crosshair.js|WebGestor/plugins/flot/jquery.flot.crosshair.min.js|WebGestor/plugins/flot/jquery.flot.errorbars.js|WebGestor/plugins/flot/jquery.flot.errorbars.min.js|WebGestor/plugins/flot/jquery.flot.fillbetween.js|WebGestor/plugins/flot/jquery.flot.fillbetween.min.js|WebGestor/plugins/flot/jquery.flot.image.js|WebGestor/plugins/flot/jquery.flot.image.min.js|WebGestor/plugins/flot/jquery.flot.js|WebGestor/plugins/flot/jquery.flot.min.js|WebGestor/plugins/flot/jquery.flot.navigate.js|WebGestor/plugins/flot/jquery.flot.navigate.min.js|WebGestor/plugins/flot/jquery.flot.pie.js|WebGestor/plugins/flot/jquery.flot.pie.min.js|WebGestor/plugins/flot/jquery.flot.resize.js|WebGestor/plugins/flot/jquery.flot.resize.min.js|WebGestor/plugins/flot/jquery.flot.selection.js|WebGestor/plugins/flot/jquery.flot.selection.min.js|WebGestor/plugins/flot/jquery.flot.stack.js|WebGestor/plugins/flot/jquery.flot.stack.min.js|WebGestor/plugins/flot/jquery.flot.symbol.js|WebGestor/plugins/flot/jquery.flot.symbol.min.js|WebGestor/plugins/flot/jquery.flot.threshold.js|WebGestor/plugins/flot/jquery.flot.threshold.min.js|WebGestor/plugins/flot/jquery.flot.time.js|WebGestor/plugins/flot/jquery.flot.time.min.js|WebGestor/plugins/input-mask/jquery.inputmask.date.extensions.js|WebGestor/plugins/input-mask/jquery.inputmask.extensions.js|WebGestor/plugins/input-mask/jquery.inputmask.js|WebGestor/plugins/input-mask/jquery.inputmask.numeric.extensions.js|WebGestor/plugins/input-mask/jquery.inputmask.phone.extensions.js|WebGestor/plugins/input-mask/jquery.inputmask.regex.extensions.js|WebGestor/plugins/jQueryUI/jquery-ui-1.10.3.js|WebGestor/plugins/jQueryUI/jquery-ui-1.10.3.min.js|WebGestor/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js|WebGestor/plugins/jvectormap/jquery-jvectormap-world-mill-en.js|WebGestor/plugins/knob/jquery.knob.js|WebGestor/plugins/slimScroll/jquery.slimscroll.js|WebGestor/plugins/slimScroll/jquery.slimscroll.min.js|WebGestor/plugins/sparkline/jquery.sparkline.js|WebGestor/plugins/sparkline/jquery.sparkline.min.js
jquery,1.12.3,header_comment,WebGestor/Js/jquery.min.js
jquery,1.3,header_comment,WebGestor/Scripts/jquery-3.3.1.intellisense.js
