path_rel,asset_type,size_bytes,sha1
WebGestor/bootstrap/fonts/glyphicons-halflings-regular.eot,font,20127,86b6f62b7853e67d3e635f6512a5a5efc58ea3c3
WebGestor/bootstrap/fonts/glyphicons-halflings-regular.svg,image,108738,de51a8494180a6db074af2dee2383f0a363c5b08
WebGestor/bootstrap/fonts/glyphicons-halflings-regular.ttf,font,45404,44bc1850f570972267b169ae18f1cb06b611ffa2
WebGestor/bootstrap/fonts/glyphicons-halflings-regular.woff,font,23424,278e49a86e634da6f2a02f3b47dd9d2a8f26210f
WebGestor/bootstrap/fonts/glyphicons-halflings-regular.woff2,font,18028,ca35b697d99cae4d1b60f2d60fcd37771987eb07
WebGestor/CAS/minus.gif,image,80,dfa31db003b0c8cda9eb9518a475e3c3f739259e
WebGestor/CAS/ok20.png,image,1470,e5fd0ac6ade0196ad3e9ba847039bcaf8bc484fa
WebGestor/CAS/TEMAS/0012 Contrato de Prestación de Servicios.docx,document,88089,4999eaa5590a83031334a1bc23b050c5e189cc60
WebGestor/CAS/TEMAS/3TH_SIMULACRO_4AÑOS.docx,document,317553,19b173dd02358e2cebdda604f5f648009cca00f9
WebGestor/CAS/TEMAS/ACTUALIZAR BASE D EDATOS EN OPPLUS.docx,document,13542,5fae7382cf6369c88d56d8a4adda720ad5b535fa
WebGestor/CAS/TEMAS/DEFINICIONES ELEMEMENTOS GESTOR.docx,document,20705,1859a4f6bcaeaa698192e1a1bbb9784c2803c0dd
WebGestor/CAS/TEMAS/HACDATA BASE CONOCIMIENTO.pdf,document,1090201,c4be1efb0e0c36b2056924ad83f17203621961fd
WebGestor/CAS/TEMAS/reserva.pdf,document,424466,5c345a151f11a7848908135cf940820c7537d60b
WebGestor/CAS/TEMAS/Señores  BANCO BBVA PERU.docx,document,13237,ca00ac63d9b5b4fc5fa227448563a92f557917fc
WebGestor/CAS/Temas_1BB/0012 Contrato de Prestación de Servicios.docx,document,88089,4999eaa5590a83031334a1bc23b050c5e189cc60
WebGestor/CAS/Temas_1BB/inv tablas.docx,document,281243,7921ae2035015288e2d3cce2f4d579ccc8775169
WebGestor/CAS/Temas_1TE/ACTUALIZAR BASE D EDATOS EN OPPLUS.docx,document,13542,5fae7382cf6369c88d56d8a4adda720ad5b535fa
WebGestor/CAS/Temas_1TE/ALCOHOL EN GEL SANITIZANTE 7225.xlsx,document,34221,15dbb3462b96225b8a55790a1afd0ff6f23d16a6
WebGestor/CAS/Temas_1TE/clientes.xlsx,document,11297,83042201680c8969a0802c9f8a551a0236787e10
WebGestor/CAS/Temas_1TE/Copia de CAJAS DE AGUA.xlsx,document,9247,0582e9240f6c1458467169fa3bf93ddfa8b08724
WebGestor/CAS/Temas_1TE/CRM MODULOS.docx,document,1672503,f8e1424f1c792d65b5c2d24922809992ced0d55d
WebGestor/CAS/Temas_1TE/DATOS FOTOCHECK - BANCO 25 (00000003).xlsx,document,15424,d2932898a6f1f1150e26a33af83487afb1a6d6b1
WebGestor/CAS/Temas_1TE/Especificaciones Técnicas.pdf,document,439033,62eb489496ebf273d85e2306179267efa26dc90d
WebGestor/CAS/Temas_1TE/inv tablas.docx,document,281243,7921ae2035015288e2d3cce2f4d579ccc8775169
WebGestor/CAS/Temas_1TE/INVENTARIO2.docx,document,459571,f2b3ed277142229d4e6f381016842c37305fbee8
WebGestor/CAS/Temas_1TE/LogoSaga2.png,image,3310,7ef84dc55d9c4cd7de5cb6c2114aadd3674e48d4
WebGestor/CAS/Temas_1TE/PRUEBA.docx,document,12698,a235a686af9d545cc884b1052555fdff28b0c86f
WebGestor/CRM/Temas/022403 TRANSPORTES 3SL Y PROYECTOS E.I.R.L..xlsx,document,8905,e95f023210c423936ae9f33cce9fc2e5b96fa7c0
WebGestor/CRM/Temas/3473.jpg,image,12523,0bccc32a6ed72fc1fdbda53be80f49058060784c
WebGestor/CRM/Temas/ACEROS AREQUIPA.bmp,image,38518,02f1d47152eb2a25ff60c70322e795029467c970
WebGestor/CRM/Temas/BienesInventariados022223 20100512662 GRAMBS CORPORACION GRAFICA S.A.C.xlsx,document,3416,7e7fca682a501554343ebc70d475e3897de0c35f
WebGestor/CRM/Temas/cargageneralbienes_ejemplo.xlsx,document,17326,09347bc69f522903bc26a5b3892be183e9920b2c
WebGestor/CRM/Temas/cargo carta fianza.docx,document,33436,ff46dbacac27c9ed9f6e30d1e30b6aa7858a7021
WebGestor/CRM/Temas/CATALOGO SKUS - 31 JULIO.xlsx,document,636864,84726d6bf89120b6c85efe70eddca0cb03072cee
WebGestor/CRM/Temas/CRM MODULOS.docx,document,1536925,7e636d88fa1c76342ea016058073d120902813ff
WebGestor/CRM/Temas/DISEÑO DE TABLAS.xlsx,document,21728,8f89c1b86bdf76f6db838e1ce2c5e8d5b3520292
WebGestor/CRM/Temas/GridViewExport (1).xls,document,80495,6f58234ce704af27a122b614b5f5b0314a96c06d
WebGestor/CRM/Temas/GuiaInterna_Nro_001459.pdf,document,1970,db1eb2a50acf9e0a5b6d1ae529edc83619646db1
WebGestor/CRM/Temas/impresora argox os-2140.docx,document,155618,9c3a1efb73004f676019b799122086787145c679
