path_rel,language,loc,avg_line_length,num_functions,decision_points,comment_lines,comment_ratio,complexity_score
build_repo_package.py,python,938,34.66,0,165,0,0.0,166
path_normalization_report.py,python,116,30.84,0,41,8,0.069,42
WebGestor/About.aspx,aspx,7,52.43,0,1,0,0.0,2
WebGestor/About.aspx.designer.vb,vb,15,28.87,0,0,7,0.467,1
WebGestor/About.aspx.vb,vb,7,20.71,2,0,0,0.0,2
WebGestor/App_Code/Class1.vb,vb,58,36.28,2,8,2,0.034,10
WebGestor/App_Code/Cls_Agenda_Citas.vb,vb,15,38.0,2,0,0,0.0,2
WebGestor/App_Code/Cls_Almacenes.vb,vb,171,45.15,22,9,0,0.0,31
WebGestor/App_Code/Cls_Catalogo.vb,vb,422,49.8,50,27,1,0.002,77
WebGestor/App_Code/Cls_Clasificacion.vb,vb,83,58.6,10,20,0,0.0,30
WebGestor/App_Code/Cls_Cliente.vb,vb,484,56.41,48,9,1,0.002,57
WebGestor/App_Code/Cls_Conciliados.vb,vb,309,56.97,38,7,1,0.003,45
WebGestor/App_Code/Cls_Conexion.vb,vb,3,72.0,0,0,0,0.0,1
WebGestor/App_Code/Cls_Contactos_Cliente.vb,vb,63,55.1,8,3,0,0.0,11
WebGestor/App_Code/Cls_Contenido_Correo.vb,vb,96,54.89,12,0,0,0.0,12
WebGestor/App_Code/Cls_Datos_del_Bien.vb,vb,152,52.05,22,4,0,0.0,26
WebGestor/App_Code/Cls_Detalle_Modelo.vb,vb,120,42.76,16,9,0,0.0,25
WebGestor/App_Code/Cls_Documentos.vb,vb,180,53.21,20,36,1,0.006,56
WebGestor/App_Code/Cls_Enviar_Email.vb,vb,276,45.46,34,14,14,0.051,48
WebGestor/App_Code/Cls_Estado_Cliente.vb,vb,45,48.31,8,0,0,0.0,8
WebGestor/App_Code/Cls_Estado_Ticket.vb,vb,86,50.36,14,0,0,0.0,14
WebGestor/App_Code/Cls_Eventos.vb,vb,259,57.23,28,18,3,0.012,46
WebGestor/App_Code/Cls_Inventario.vb,vb,872,59.32,136,9,3,0.003,145
WebGestor/App_Code/Cls_Inventario_Ubicacion.vb,vb,435,55.13,60,23,7,0.016,83
WebGestor/App_Code/Cls_Inventario_Verificacion.vb,vb,660,59.53,86,64,2,0.003,150
WebGestor/App_Code/Cls_Marcas.vb,vb,104,40.12,14,9,0,0.0,23
WebGestor/App_Code/Cls_Modelo.vb,vb,108,43.34,14,9,0,0.0,23
WebGestor/App_Code/Cls_Pantalla_Operador.vb,vb,130,58.1,8,9,0,0.0,17
WebGestor/App_Code/Cls_Placas.vb,vb,192,41.35,30,3,0,0.0,33
WebGestor/App_Code/Cls_Proceso_Estado.vb,vb,70,49.66,12,0,0,0.0,12
WebGestor/App_Code/Cls_Proceso_Peticion.vb,vb,45,48.4,8,0,0,0.0,8
WebGestor/App_Code/Cls_Propietario.vb,vb,121,41.61,16,9,0,0.0,25
WebGestor/App_Code/Cls_Proyectos.vb,vb,103,43.11,14,9,0,0.0,23
WebGestor/App_Code/Cls_Relacion_con_Procesos.vb,vb,83,48.08,14,0,0,0.0,14
WebGestor/App_Code/Cls_Relacion_Ticket.vb,vb,350,50.62,48,9,7,0.02,57
WebGestor/App_Code/Cls_Ubicacion.vb,vb,94,42.55,12,9,0,0.0,21
WebGestor/App_Code/ClsAgencia.vb,vb,120,73.03,8,0,3,0.025,8
WebGestor/App_Code/clsCont_Funciones.vb,vb,995,81.77,14,479,892,0.896,493
WebGestor/App_Code/clsCont_InsUpdDel.vb,vb,220,67.07,18,3,0,0.0,21
WebGestor/App_Code/clsCont_Listados.vb,vb,409,54.56,64,0,2,0.005,64
WebGestor/App_Code/clsControlPersonal.vb,vb,216,58.12,30,3,0,0.0,33
WebGestor/App_Code/ClsCRM_BaseDatos.vb,vb,171,57.95,26,6,0,0.0,32
WebGestor/App_Code/clsEval_Proceso.vb,vb,924,63.32,132,13,41,0.044,145
WebGestor/App_Code/clsEval_Proceso_Funciones.vb,vb,65,43.62,12,6,1,0.015,18
