path_rel,endpoint_type,has_codebehind,codebehind_path,loc,size_bytes,sha1
WebGestor/About.aspx,page,yes,WebGestor/About.aspx.vb,7,376,4df17892701f1272df1ae47eedb942930800b715
WebGestor/CallCenter/CallCenter_CargaDatos.aspx,page,yes,WebGestor/CallCenter/CallCenter_CargaDatos.aspx.vb,82,4640,9bc26c158f9eb403de73c99b60a1eded3eb8cd8e
WebGestor/CallCenter/CallCenter_DatosCliente.aspx,page,yes,WebGestor/CallCenter/CallCenter_DatosCliente.aspx.vb,136,8792,289e7a1f69fd2fbf3960be603ada11908ca13143
WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx,page,yes,WebGestor/CallCenter/CallCenter_Pantalla_Operador.aspx.vb,284,21140,0a09978fdc431cf5b9e78decc664066af968dd6c
WebGestor/camara.aspx,page,yes,WebGestor/camara.aspx.vb,92,3711,0328a53367814ebbe8917e33790a3943e6e7b6f1
WebGestor/camara_.ashx,handler,no,,45,1643,12edc0c4e029ef9ad6d7298a7d0c36816186b17c
WebGestor/camaraUpload.ashx,handler,no,,30,1000,7a76f0283bdac0f43f90d2bb7d140b9c0d17457d
WebGestor/CAS/Cas_BusquedaBaseDatos.aspx,page,yes,WebGestor/CAS/Cas_BusquedaBaseDatos.aspx.vb,308,17048,c18c480287ded33939e742c21ffe3c2a523d7735
WebGestor/CAS/Cas_Define_Grupo.aspx,page,yes,WebGestor/CAS/Cas_Define_Grupo.aspx.vb,409,46561,caf3404e38e8c554dac777a05055f58cfb34ac1f
WebGestor/CAS/Cas_Define_personas.aspx,page,yes,WebGestor/CAS/Cas_Define_personas.aspx.vb,210,19041,2a094e469fc6d5aa21fa03574ed059ed9b8061ec
WebGestor/CAS/Cas_Define_TemasAyuda.aspx,page,yes,WebGestor/CAS/Cas_Define_TemasAyuda.aspx.vb,307,18178,77e5dd9a664d405e34b2691f358bdd65b1fb8a17
WebGestor/CAS/Cas_DefineTablas1.aspx,page,yes,WebGestor/CAS/Cas_DefineTablas1.aspx.vb,738,84913,896664877a2f18244ad965882b81292463b5b0f7
WebGestor/CAS/Cas_DefineTablas2.aspx,page,yes,WebGestor/CAS/Cas_DefineTablas2.aspx.vb,187,30355,de8e215c02160433c0869e615db011ceab01586d
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx,page,yes,WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,438,34361,ca0b2df6a2318f17fde03a87e6b9de61926e2d84
WebGestor/CAS/Cas_ImportarPersona.aspx,page,yes,WebGestor/CAS/Cas_ImportarPersona.aspx.vb,83,5039,75eed9f37d796e7fdaf41e84da27bd4d8d037eeb
WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx,page,yes,WebGestor/CAS/Cas_Lista_Enlace_TemasAyuda.aspx.vb,145,10401,7e2aa54908b6e7f7f3ecac0d353e7589584e0bf8
WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx,page,yes,WebGestor/CAS/Cas_ListaAviso_xUsuario.aspx.vb,199,12864,92b4f5e30a128050debc652b435a14cd806dc28a
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx,page,yes,WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx.vb,582,61365,4e41fd145e301b5d11e6634d8eba0a60d7b4fd23
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx,page,yes,WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx.vb,591,60584,95eea2fb383a7652d1dbca90dc6b8e7c2a2aaf27
WebGestor/CAS/Cas_RedireccionarIncidencia.aspx,page,yes,WebGestor/CAS/Cas_RedireccionarIncidencia.aspx.vb,225,11849,1352aeba933bc1925f825c52db21a562839b8f12
WebGestor/CAS/Cas_Registra_Incidentes.aspx,page,yes,WebGestor/CAS/Cas_Registra_Incidentes.aspx.vb,1140,79786,32f1801c2716698be56ff4a171eccf12aedb3c1b
WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx,page,yes,WebGestor/CAS/Cas_Relacion_AvisoxUsuario.aspx.vb,175,8417,561168778a03b7f6c8b9d86b0ecf4ed2492ce99b
WebGestor/CAS/Cas_Relacion_Estadisticas.aspx,page,yes,WebGestor/CAS/Cas_Relacion_Estadisticas.aspx.vb,163,9668,4dccc2a28eec44cab8ec7fcc20abc8b6f97a43a8
WebGestor/CAS/Cas_Relacion_Reportes.aspx,page,yes,WebGestor/CAS/Cas_Relacion_Reportes.aspx.vb,172,11191,d2d9793060f32400ad5f2469646b63925f2e7b05
WebGestor/CAS/Cas_RelacionIncidentes.aspx,page,yes,WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,396,37157,8e493c1e23baa3140b9bfc7bd829f44f26faa463
WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx,page,yes,WebGestor/CAS/Cas_Rep_ConsultaxOficiona.aspx.vb,48,2356,02d6ec86ae14c326ed5a1ecd122faefc6c1e24f4
WebGestor/CAS/Cas_Rep_PorCargos.aspx,page,yes,WebGestor/CAS/Cas_Rep_PorCargos.aspx.vb,66,3498,cfedb0f2a16f8108a40e1ce5381d78679cee0a58
WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx,page,yes,WebGestor/CAS/Cas_Rep_RankingTerritorial.aspx.vb,65,3249,fa400adeadb190a54c00f54e7c445c3f5b45df0b
WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx,page,yes,WebGestor/CAS/Cas_Rep_RegistroPorductoXOficina.aspx.vb,54,2316,c9ce85e3ef59b815b87e9b8e77ff10918e57a0ef
WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx,page,yes,WebGestor/CAS/Cas_Rep_RegistroTematicasXOficina.aspx.vb,58,2778,292d6e98f4ff25563dfc3f601eb9d0a6aabebc28
WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx,page,yes,WebGestor/CAS/Cas_Rep_RegistroTerritorioXOficina.aspx.vb,51,2330,57bfa084906ffbcca5be1ec77b60b15ae3218827
WebGestor/CAS/CasReporte_IncidenteTotales.aspx,page,yes,WebGestor/CAS/CasReporte_IncidenteTotales.aspx.vb,81,4442,a405f2223b94eb6169290517dd04d0510708bd7e
