library,version,path_rel,minified,sha1
Bootstrap,,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.js,no,53bf5e095c3daa49c64f806278aa96f0acbd8a47
Bootstrap,,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.bundle.min.js,yes,386ea8bd17f21149c4e3a2303665fe6398e4e7d0
Bootstrap,,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.js,no,61544861ba070434a605df349fa27119f1651f2b
Bootstrap,,WebGestor/bootstrap-4.5.2-dist/bootstrap-4.5.2-dist/js/bootstrap.min.js,yes,0cc93b8421d89c24a889642428b363cb831de78a
Bootstrap,,WebGestor/bootstrap/js/bootstrap.js,no,542cfd539f0cad650342c8cab8baf1cdbcd5fea6
Bootstrap,,WebGestor/bootstrap/js/bootstrap.min.js,yes,27947c0c0fa837da9bdfdfc36f649c25f54bd1c0
jQuery,3.5.1.slim.min.js,WebGestor/bootstrap/js/jquery-3.5.1.slim.min.js,yes,cf8d9821552d51bb50ce572e696aba1309065800
npm.js,,WebGestor/bootstrap/js/npm.js,no,e2b7590d6ec1fdac66b01fdf66ae0879f53b1262
popper.min.js,,WebGestor/bootstrap/js/popper.min.js,yes,313789ca0e31b654784dbba8b0f83f364f8683b4
GridView.js,,WebGestor/Css_Gestor/GridView.js,no,b31edbcb274ba8ae9f7f3ee54ef8aa133ebfa386
Map.js,,WebGestor/Css_Gestor/Map.js,no,c2b2d14984be121e3325cc858f4d5cdc4ec0bf04
Scheduler.js,,WebGestor/Css_Gestor/Scheduler.js,no,cfb3b7a874d557f136443b25981dc260b26dd59e
Script.js,,WebGestor/Css_Gestor/Script.js,no,d747ed50d366ff03b11c4fcdcf40e9519feb1d93
SignInRegister.js,,WebGestor/Css_Gestor/SignInRegister.js,no,e33c1e80b07adf6dfa1f38d467df5ba4adbb5299
app.js,,WebGestor/dist/js/app.js,no,a1b97b0bbc67a97caf202c85d40afd74fda02394
app.min.js,,WebGestor/dist/js/app.min.js,yes,21e8f44cbec02aa2e2b2b8d49299ec9265acce6f
demo.js,,WebGestor/dist/js/demo.js,no,42a4a80e5923aa03a01560da98e2b2b8ecdcd9df
dashboard.js,,WebGestor/dist/js/pages/dashboard.js,no,6c82c242f83b54819d94fb6b0e13aea0316d9941
