path,symbol,tb_layer,reason
WebGestor/App_Code/Cls_Catalogo.vb,name-match,TB06,match por 'catalogo' en nombre
WebGestor/App_Code/Cls_Estado_Ticket.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/App_Code/Cls_Estado_Ticket.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/App_Code/Cls_Inventario.vb,Export,TB06,usa 'Export'
WebGestor/App_Code/Cls_Inventario_Verificacion.vb,Export,TB06,usa 'Export'
WebGestor/App_Code/Cls_Relacion_Ticket.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/App_Code/Cls_Relacion_Ticket.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/App_Code/ImagenesArt.vb,name-match,TB04,match por 'imagen' en nombre
WebGestor/App_Code/ImagenesGuia.vb,name-match,TB04,match por 'imagen' en nombre
WebGestor/App_Code/ModuloCas.vb,Export,TB06,usa 'Export'
WebGestor/App_Code/clsEval_Proceso.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/App_Code/clsEval_Proceso.vb,Puntaje,TB05,usa 'Puntaje'
WebGestor/App_Code/clsEval_Proceso_Funciones.vb,Evaluacion,TB05,usa 'Evaluacion'
WebGestor/App_Code/clsInv_Listados.vb,Export,TB06,usa 'Export'
WebGestor/App_Code/clsMesaAyuda.vb,name-match,TB01,match por 'mesaayuda' en nombre
WebGestor/App_Code/clsMesaAyuda.vb,name-match,TB02,match por 'mesaayuda' en nombre
WebGestor/App_Data/web.config,name-match,TB06,match por 'data' en nombre
WebGestor/CAS/CasReporte_IncidenteTotales.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidenteTotales.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/CasReporte_IncidenteTotales.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidenteTotales.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/CasReporte_IncidentexComponente.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidentexComponente.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/CasReporte_IncidentexComponente.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidentexComponente.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/CasReporte_IncidentexElemento.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidentexElemento.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/CasReporte_IncidentexElemento.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/CasReporte_IncidentexElemento.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_DefineTablas1.aspx,name-match,TB06,match por 'tabla' en nombre
WebGestor/CAS/Cas_DefineTablas1.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/CAS/Cas_DefineTablas1.aspx.vb,SaveAs,TB04,usa SaveAs
WebGestor/CAS/Cas_DefineTablas1.aspx.vb,name-match,TB06,match por 'tabla' en nombre
WebGestor/CAS/Cas_DefineTablas2.aspx,name-match,TB06,match por 'tabla' en nombre
WebGestor/CAS/Cas_DefineTablas2.aspx.vb,name-match,TB06,match por 'tabla' en nombre
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/CAS/Cas_Definicion_CarteraConsulta.aspx.vb,SaveAs,TB04,usa SaveAs
WebGestor/CAS/Cas_ImportarPersona.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_ListaIncidentes_GrupoNivel2.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_ListaIncidentes_Nivel2.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_Registra_Incidentes.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_Registra_Incidentes.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_Registra_Incidentes.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_Registra_Incidentes.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_RelacionIncidentes.aspx,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_RelacionIncidentes.aspx,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,name-match,TB03,match por 'incident' en nombre
WebGestor/CAS/Cas_RelacionIncidentes.aspx.vb,name-match,TB03,match por 'incidente' en nombre
WebGestor/CAS/Cas_Relacion_Reportes.aspx,name-match,TB06,match por 'reportes' en nombre
WebGestor/CAS/Cas_Relacion_Reportes.aspx.vb,name-match,TB06,match por 'reportes' en nombre
WebGestor/CAS/TEMAS/HACDATA BASE CONOCIMIENTO.pdf,name-match,TB06,match por 'data' en nombre
WebGestor/CAS/Temas_1BB/inv tablas.docx,name-match,TB06,match por 'tabla' en nombre
WebGestor/CAS/Temas_1TE/DATOS FOTOCHECK - BANCO 25 (00000003).xlsx,name-match,TB04,match por 'foto' en nombre
WebGestor/CAS/Temas_1TE/inv tablas.docx,name-match,TB06,match por 'tabla' en nombre
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/CRM/CRM_BeseDatos_Mantenimiento.aspx.vb,SaveAs,TB04,usa SaveAs
WebGestor/CRM/CRM_Enviar_Email.aspx.designer.vb,FileUpload,TB04,usa FileUpload
WebGestor/CRM/CRM_Enviar_Email.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/CRM/CRM_Enviar_Email.aspx.vb,SaveAs,TB04,usa SaveAs
WebGestor/CRM/CRM_Exportar.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CRM/CRM_Relacion_Ticket.aspx,name-match,TB01,match por 'ticket' en nombre
WebGestor/CRM/CRM_Relacion_Ticket.aspx,name-match,TB02,match por 'ticket' en nombre
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,CambiarEstado,TB01,usa 'CambiarEstado'
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,CambiarEstado,TB02,usa 'CambiarEstado'
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,Reasignar,TB01,usa 'Reasignar'
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,Reasignar,TB02,usa 'Reasignar'
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/CRM/CRM_Relacion_Ticket.aspx.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx,name-match,TB01,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx,name-match,TB02,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.designer.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.designer.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,CambiarEstado,TB01,usa 'CambiarEstado'
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,CambiarEstado,TB02,usa 'CambiarEstado'
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,Export,TB06,usa 'Export'
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,name-match,TB01,match por 'ticket' en nombre
WebGestor/CRM/CRM_Tiempo_Estado_Ticket.aspx.vb,name-match,TB02,match por 'ticket' en nombre
WebGestor/CRM/Documento_TemasAyuda.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/CRM/Temas/CATALOGO SKUS - 31 JULIO.xlsx,name-match,TB06,match por 'catalogo' en nombre
WebGestor/CRM/Temas/DISEÑO DE TABLAS.xlsx,name-match,TB06,match por 'tabla' en nombre
WebGestor/CallCenter/CallCenter_CargaDatos.aspx.vb,Export,TB06,usa 'Export'
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx,name-match,TB06,match por 'tabla' en nombre
WebGestor/Contabilidad/Contabilidad_TablasContable.aspx.vb,name-match,TB06,match por 'tabla' en nombre
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx,name-match,TB06,match por 'tabla' en nombre
WebGestor/Contabilidad/Contabilidad_TablasContables2.aspx.vb,name-match,TB06,match por 'tabla' en nombre
WebGestor/Content/tessdata/eng.DangAmbigs,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.freq-dawg,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.inttemp,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.normproto,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.pffmtable,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.unicharset,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.user-words,name-match,TB06,match por 'data' en nombre
WebGestor/Content/tessdata/eng.word-dawg,name-match,TB06,match por 'data' en nombre
WebGestor/ControlPersonal/Person_Fotos.ashx,name-match,TB04,match por 'foto' en nombre
WebGestor/ControlPersonal/Person_Record_Asistencia.aspx.vb,Export,TB06,usa 'Export'
WebGestor/Css/dataTables.bootstrap.min.css,name-match,TB06,match por 'data' en nombre
WebGestor/Default2.aspx.vb,DataSet,TB06,usa 'DataSet'
WebGestor/Default4.aspx.vb,DataSet,TB06,usa 'DataSet'
WebGestor/Documentacion/Documentacion_Mantenimiento.aspx.vb,FileUpload,TB04,usa FileUpload
WebGestor/Documentacion/Documentacion_Mantenimiento.aspx.vb,SaveAs,TB04,usa SaveAs
WebGestor/Encuesta/Encuesta_Anonimos_Des.aspx.vb,Puntaje,TB05,usa 'Puntaje'
WebGestor/Encuesta/Encuesta_Des.aspx.vb,Puntaje,TB05,usa 'Puntaje'
WebGestor/Encuesta/Encuestas_Realizadas.aspx.vb,Puntaje,TB05,usa 'Puntaje'
WebGestor/EvaluacionProcesos/CapturarImagen.aspx,name-match,TB04,match por 'imagen' en nombre
